Number,Short Description,Change Environment,Requested By,Assigned To,Assignment Group,Service,State,Risk,Priority,Urgency,Impact,Created,Start Date,Closed,Reopen Count,Breach Count,Day,Reopen Zero Flag,Time to Response Hours,Processing Time Hours,Total Time Hours,KPI_breach,Week
CR-6239,User’s mailbox not receiving external emails,Access,Neo,Neo,Matrix,Service A,Closed,Low,High,High,High,2025-03-10T20:59:07.000000,2025-03-11T00:59:07.000000,2025-03-11T23:59:07.000000,0,2,Monday,1,4.0,23.0,27.0,1,2025-11
CR-6240,Data export from system failing with error,Network,Iron Man,Iron Man,Avengers,Service A,Closed,High,Medium,Medium,Medium,2025-03-10T14:22:36.000000,2025-03-10T18:22:36.000000,2025-03-11T07:22:36.000000,0,1,Monday,1,4.0,13.0,17.0,0,2025-11
CR-6241,User unable to access HR portal,Access,Shang Chi,Shang Chi,Avengers II,Service A,Closed,High,High,High,High,2025-03-10T12:46:00.000000,2025-03-10T19:46:00.000000,2025-03-11T06:46:00.000000,0,2,Monday,1,7.0,11.0,18.0,1,2025-11
CR-6242,Multiple users experiencing Outlook crashes,Failure,Captain America,Captain America,Avengers,Service C,Closed,Medium,Low,Low,Low,2025-03-10T12:40:19.000000,2025-03-10T19:40:19.000000,2025-03-12T21:40:19.000000,0,0,Monday,1,7.0,50.0,57.0,1,2025-11
CR-6243,Printer not printing documents from any workstation,Network,Iron Man,Iron Man,Avengers,Service B,Closed,Low,Low,Low,Low,2025-03-10T13:20:50.000000,2025-03-10T18:20:50.000000,2025-03-13T14:20:50.000000,0,0,Monday,1,5.0,68.0,73.0,1,2025-11
CR-6244,Intermittent packet loss on WAN link,Software,Jack Sparrow,Jack Sparrow,Matrix,Service B,Closed,Medium,High,High,Medium,2025-03-10T20:58:39.000000,2025-03-11T01:58:39.000000,2025-03-11T23:58:39.000000,1,2,Monday,0,5.0,22.0,27.0,1,2025-11
CR-6245,SSL certificate error when accessing internal site,Software,Spiderman,Spiderman,Avengers II,Service B,Closed,Low,Medium,Medium,Medium,2025-03-10T17:45:02.000000,2025-03-10T23:45:02.000000,2025-03-12T00:45:02.000000,1,1,Monday,0,6.0,25.0,31.0,1,2025-11
CR-6246,External website not reachable from corporate network,Failure,Shang Chi,Shang Chi,Avengers II,Service A,Closed,Low,Medium,Medium,Medium,2025-03-10T15:29:23.000000,2025-03-10T23:29:23.000000,2025-03-12T11:29:23.000000,0,1,Monday,1,8.0,36.0,44.0,1,2025-11
CR-6247,USB device not recognized on workstation,Software,Spiderman,Spiderman,Avengers II,Service B,Closed,High,Medium,Medium,Medium,2025-03-10T19:26:07.000000,2025-03-11T00:26:07.000000,2025-03-11T19:26:07.000000,0,2,Monday,1,5.0,19.0,24.0,0,2025-11
CR-6248,User not receiving password reset email,Access,Loki,Loki,Avengers,Service A,On Hold,Low,Critical,High,High,2025-03-10T21:35:29.000000,,,0,4,Monday,1,,,,0,2025-11
CR-6249,Scheduled report not generated or delivered,Hardware,Iron Man,Iron Man,Avengers,Service C,Closed,Low,Medium,Medium,Medium,2025-03-10T21:23:53.000000,2025-03-11T05:23:53.000000,2025-03-11T19:23:53.000000,0,2,Monday,1,8.0,14.0,22.0,0,2025-11
CR-6250,Mobile app login failing for all users,Facilities,Shang Chi,Shang Chi,Avengers II,Service A,Closed,High,High,High,Medium,2025-03-10T12:53:05.000000,2025-03-10T16:53:05.000000,2025-03-10T22:53:05.000000,0,3,Monday,1,4.0,6.0,10.0,0,2025-11
CR-6251,Batch job failed to complete overnight,Facilities,Spiderman,Spiderman,Avengers II,Service A,Closed,Low,Medium,Medium,Medium,2025-03-10T00:26:58.000000,2025-03-10T04:26:58.000000,2025-03-11T11:26:58.000000,0,1,Monday,1,4.0,31.0,35.0,1,2025-11
CR-6252,Unauthorized login attempt alert for admin account,Failure,John Wick,John Wick,Matrix,Service A,Closed,High,High,Medium,High,2025-03-10T06:58:57.000000,2025-03-10T11:58:57.000000,2025-03-11T11:58:57.000000,0,3,Monday,1,5.0,24.0,29.0,1,2025-11
CR-6253,Corrupted email attachments received internally,Facilities,Captain Marvel,Captain Marvel,Avengers II,Service B,Closed,Medium,Critical,High,Medium,2025-03-10T07:56:49.000000,2025-03-10T12:56:49.000000,2025-03-10T17:56:49.000000,0,5,Monday,1,5.0,5.0,10.0,1,2025-11
CR-6254,User unable to open encrypted email,Network,Thor,Thor,Avengers,Service A,Closed,Low,Medium,Medium,Medium,2025-03-10T09:31:46.000000,2025-03-10T11:31:46.000000,2025-03-11T23:31:46.000000,1,2,Monday,0,2.0,36.0,38.0,1,2025-11
CR-6255,User unable to open encrypted email,Hardware,Hulk,Hulk,Avengers,Service A,Closed,Low,Critical,High,High,2025-03-10T21:22:51.000000,2025-03-11T01:22:51.000000,2025-03-11T08:22:51.000000,1,5,Monday,0,4.0,7.0,11.0,1,2025-11
CR-6256,Newly created user not syncing to all systems,Complaint,Neo,Neo,Matrix,Service C,Closed,Medium,High,High,Low,2025-03-10T09:21:45.000000,2025-03-10T11:21:45.000000,2025-03-11T10:21:45.000000,0,2,Monday,1,2.0,23.0,25.0,1,2025-11
CR-6257,VoIP phone not registering with call manager,Failure,Loki,Loki,Avengers,Service B,On Hold,Low,Low,Low,Low,2025-03-10T02:38:08.000000,,,0,0,Monday,1,,,,0,2025-11
CR-6258,Single sign-on not working for cloud application,Failure,Spiderman,Spiderman,Avengers II,Service B,Closed,High,Low,Low,Low,2025-03-10T02:52:06.000000,2025-03-10T06:52:06.000000,2025-03-12T00:52:06.000000,0,0,Monday,1,4.0,42.0,46.0,0,2025-11
CR-6259,User home drive not mapping at login,Network,Loki,Loki,Avengers,Service C,Closed,Medium,Low,Low,Low,2025-03-10T23:43:41.000000,2025-03-11T07:43:41.000000,2025-03-13T13:43:41.000000,0,0,Monday,1,8.0,54.0,62.0,1,2025-11
CR-6260,Printing jobs stuck in queue without error message,Access,Thor,Thor,Avengers,Service B,New,High,High,High,High,2025-03-10T14:59:36.000000,,,0,3,Monday,1,,,,0,2025-11
CR-6261,External website not reachable from corporate network,Failure,Shang Chi,Shang Chi,Avengers II,Service C,Closed,High,Medium,Medium,Medium,2025-03-10T22:25:21.000000,2025-03-11T02:25:21.000000,2025-03-12T09:25:21.000000,0,2,Monday,1,4.0,31.0,35.0,1,2025-11
CR-6262,Unexpected application log errors after deployment,Hardware,Iron Man,Iron Man,Avengers,Service A,Closed,Low,Critical,High,High,2025-03-10T05:27:57.000000,2025-03-10T07:27:57.000000,2025-03-10T14:27:57.000000,0,4,Monday,1,2.0,7.0,9.0,1,2025-11
CR-6263,Time synchronization issue causing authentication failures,Software,Neo,Neo,Matrix,Service B,Closed,Low,Medium,Low,Medium,2025-03-10T15:45:34.000000,2025-03-10T19:45:34.000000,2025-03-11T20:45:34.000000,1,2,Monday,0,4.0,25.0,29.0,1,2025-11
CR-6264,Application response time extremely slow for multiple users,Hardware,Captain Marvel,Captain Marvel,Avengers II,Service C,Closed,Low,High,High,High,2025-03-10T07:13:04.000000,2025-03-10T12:13:04.000000,2025-03-10T20:13:04.000000,0,2,Monday,1,5.0,8.0,13.0,0,2025-11
CR-6265,Email client not connecting to mail server,Failure,Shang Chi,Shang Chi,Avengers II,Service A,In Progress,High,High,High,High,2025-03-10T07:45:03.000000,2025-03-10T09:45:03.000000,,0,3,Monday,1,2.0,,,0,2025-11
CR-6266,Batch job failed to complete overnight,Software,Iron Man,Iron Man,Avengers,Service C,Closed,Low,Critical,High,High,2025-03-10T08:18:25.000000,2025-03-10T13:18:25.000000,2025-03-10T18:18:25.000000,1,4,Monday,0,5.0,5.0,10.0,1,2025-11
CR-6267,Antivirus alert triggered on user workstation,Hardware,Hulk,Hulk,Avengers,Service C,Closed,Low,High,Medium,High,2025-03-10T21:08:52.000000,2025-03-11T00:08:52.000000,2025-03-11T07:08:52.000000,0,2,Monday,1,3.0,7.0,10.0,0,2025-11
CR-6268,Incorrect display of currency values in front-end,Software,Neo,Neo,Matrix,Service C,Closed,Low,Critical,High,Medium,2025-03-10T17:33:36.000000,2025-03-10T20:33:36.000000,2025-03-11T05:33:36.000000,0,3,Monday,1,3.0,9.0,12.0,1,2025-11
CR-6269,Incorrect language settings applied to user interface,Network,Loki,Loki,Avengers,Service B,Closed,Low,Critical,High,High,2025-03-10T04:33:59.000000,2025-03-10T11:33:59.000000,2025-03-10T19:33:59.000000,0,4,Monday,1,7.0,8.0,15.0,1,2025-11
CR-6270,Time synchronization issue causing authentication failures,Access,Doctor Strange,Doctor Strange,Avengers II,Service A,Closed,Low,Medium,Low,Medium,2025-03-10T15:12:41.000000,2025-03-10T18:12:41.000000,2025-03-11T21:12:41.000000,0,1,Monday,1,3.0,27.0,30.0,1,2025-11
CR-6271,Printing jobs stuck in queue without error message,Hardware,Captain Marvel,Captain Marvel,Avengers II,Service A,Closed,Low,Medium,Medium,Medium,2025-03-10T12:39:19.000000,2025-03-10T19:39:19.000000,2025-03-11T22:39:19.000000,0,1,Monday,1,7.0,27.0,34.0,1,2025-11
CR-6272,Data export from system failing with error,Facilities,Captain Marvel,Captain Marvel,Avengers II,Service C,Closed,High,Critical,High,High,2025-03-10T12:52:31.000000,2025-03-10T15:52:31.000000,2025-03-10T22:52:31.000000,0,5,Monday,1,3.0,7.0,10.0,1,2025-11
CR-6273,Delayed message delivery in internal chat system,Software,Loki,Loki,Avengers,Service C,Closed,High,Medium,Medium,Medium,2025-03-10T04:49:07.000000,2025-03-10T10:49:07.000000,2025-03-11T04:49:07.000000,1,2,Monday,0,6.0,18.0,24.0,0,2025-11
CR-6274,Unauthorized login attempt alert for admin account,Hardware,Captain America,Captain America,Avengers,Service B,Closed,High,High,High,High,2025-03-10T02:13:36.000000,2025-03-10T06:13:36.000000,2025-03-11T02:13:36.000000,0,2,Monday,1,4.0,20.0,24.0,1,2025-11
CR-6275,Auto-save not working in productivity application,Network,Captain Marvel,Captain Marvel,Avengers II,Service B,Closed,Low,Medium,Medium,Medium,2025-03-10T14:18:48.000000,2025-03-10T20:18:48.000000,2025-03-11T13:18:48.000000,1,2,Monday,0,6.0,17.0,23.0,0,2025-11
CR-6276,User not receiving password reset email,Hardware,Spiderman,Spiderman,Avengers II,Service B,Closed,High,High,High,High,2025-03-10T14:05:56.000000,2025-03-10T22:05:56.000000,2025-03-11T15:05:56.000000,1,2,Monday,0,8.0,17.0,25.0,1,2025-11
CR-6277,SSL certificate error when accessing internal site,Data,John Wick,John Wick,Matrix,Service C,Closed,High,Medium,Medium,Medium,2025-03-10T23:44:17.000000,2025-03-11T03:44:17.000000,2025-03-12T02:44:17.000000,0,1,Monday,1,4.0,23.0,27.0,0,2025-11
CR-6278,Shared network drive not accessible,Data,Neo,Neo,Matrix,Service C,Closed,Medium,High,High,High,2025-03-10T22:49:32.000000,2025-03-11T01:49:32.000000,2025-03-11T21:49:32.000000,0,3,Monday,1,3.0,20.0,23.0,1,2025-11
CR-6279,User unable to open encrypted email,Facilities,Hulk,Hulk,Avengers,Service B,Closed,Medium,Critical,High,High,2025-03-10T09:47:00.000000,2025-03-10T16:47:00.000000,2025-03-11T04:47:00.000000,0,5,Monday,1,7.0,12.0,19.0,1,2025-11
CR-6280,Multiple users experiencing Outlook crashes,Network,Jack Sparrow,Jack Sparrow,Matrix,Service C,Closed,Medium,Medium,Medium,Medium,2025-03-10T20:47:50.000000,2025-03-11T01:47:50.000000,2025-03-12T10:47:50.000000,0,1,Monday,1,5.0,33.0,38.0,1,2025-11
CR-6281,User not receiving password reset email,Access,Iron Man,Iron Man,Avengers,Service B,Closed,Low,High,Medium,High,2025-03-10T06:36:54.000000,2025-03-10T11:36:54.000000,2025-03-11T11:36:54.000000,0,2,Monday,1,5.0,24.0,29.0,1,2025-11
CR-6282,User’s mailbox not receiving external emails,Network,Spiderman,Spiderman,Avengers II,Service C,Closed,High,Medium,Medium,Medium,2025-03-10T11:48:30.000000,2025-03-10T18:48:30.000000,2025-03-12T03:48:30.000000,0,1,Monday,1,7.0,33.0,40.0,1,2025-11
CR-6283,File restore from backup failed for requested folder,Network,Thor,Thor,Avengers,Service C,Closed,Low,Critical,High,Medium,2025-03-10T18:46:48.000000,2025-03-10T21:46:48.000000,2025-03-11T00:46:48.000000,0,3,Monday,1,3.0,3.0,6.0,0,2025-11
CR-6284,Incorrect user mapping in identity provider,Software,Captain Marvel,Captain Marvel,Avengers II,Service A,Closed,High,High,Medium,High,2025-03-10T08:37:10.000000,2025-03-10T13:37:10.000000,2025-03-11T09:37:10.000000,0,2,Monday,1,5.0,20.0,25.0,1,2025-11
CR-6285,Endpoint not checking in with management server,Complaint,Shang Chi,Shang Chi,Avengers II,Service C,Closed,Low,High,High,Medium,2025-03-10T22:23:42.000000,2025-03-11T02:23:42.000000,2025-03-11T23:23:42.000000,0,3,Monday,1,4.0,21.0,25.0,1,2025-11
CR-6286,Database connection error in production application,Complaint,Captain America,Captain America,Avengers,Service A,Closed,Medium,Critical,High,Medium,2025-03-10T09:15:15.000000,2025-03-10T17:15:15.000000,2025-03-11T01:15:15.000000,0,5,Monday,1,8.0,8.0,16.0,1,2025-11
CR-6287,Single user laptop not connecting to Wi-Fi,Access,Batman,Batman,Matrix,Service C,Closed,Low,Low,Low,Low,2025-03-10T01:09:35.000000,2025-03-10T07:09:35.000000,2025-03-13T01:09:35.000000,0,1,Monday,1,6.0,66.0,72.0,1,2025-11
CR-6288,Network outage in specific office floor,Data,John Cena,John Cena,Matrix,Service C,Closed,High,High,Medium,High,2025-03-10T00:39:33.000000,2025-03-10T06:39:33.000000,2025-03-11T03:39:33.000000,0,3,Monday,1,6.0,21.0,27.0,1,2025-11
CR-6289,External website not reachable from corporate network,Access,Captain America,Captain America,Avengers,Service C,Closed,Low,Medium,Low,Medium,2025-03-10T15:31:13.000000,2025-03-10T23:31:13.000000,2025-03-12T02:31:13.000000,0,1,Monday,1,8.0,27.0,35.0,1,2025-11
CR-6290,Application response time extremely slow for multiple users,Complaint,Jack Sparrow,Jack Sparrow,Matrix,Service A,On Hold,Medium,Medium,Low,Medium,2025-03-10T11:05:26.000000,,,0,1,Monday,1,,,,0,2025-11
CR-6291,Duplicate records appearing in customer database,Failure,Iron Man,Iron Man,Avengers,Service B,Closed,High,High,Medium,High,2025-03-10T17:48:10.000000,2025-03-10T19:48:10.000000,2025-03-11T19:48:10.000000,1,2,Monday,0,2.0,24.0,26.0,1,2025-11
CR-6292,New software installation failing on endpoint,Facilities,Thor,Thor,Avengers,Service C,Closed,High,Medium,Low,Medium,2025-03-10T14:20:40.000000,2025-03-10T18:20:40.000000,2025-03-11T11:20:40.000000,0,2,Monday,1,4.0,17.0,21.0,0,2025-11
CR-6293,Barcode scanner not transmitting data to system,Complaint,Loki,Loki,Avengers,Service A,New,High,Critical,High,High,2025-03-10T01:18:12.000000,,,1,3,Monday,0,,,,0,2025-11
CR-6294,USB device not recognized on workstation,Software,Neo,Neo,Matrix,Service B,Closed,Low,Medium,Medium,Medium,2025-03-10T21:49:46.000000,2025-03-11T04:49:46.000000,2025-03-12T01:49:46.000000,0,2,Monday,1,7.0,21.0,28.0,0,2025-11
CR-6295,Unexpected logout from critical application during use,Complaint,Spiderman,Spiderman,Avengers II,Service A,Closed,Medium,Medium,Medium,Low,2025-03-10T10:07:57.000000,2025-03-10T15:07:57.000000,2025-03-11T09:07:57.000000,1,1,Monday,0,5.0,18.0,23.0,0,2025-11
CR-6296,Application not launching after latest OS update,Complaint,Loki,Loki,Avengers,Service C,Closed,High,High,High,High,2025-03-10T05:03:26.000000,2025-03-10T10:03:26.000000,2025-03-11T02:03:26.000000,0,2,Monday,1,5.0,16.0,21.0,1,2025-11
CR-6297,USB device not recognized on workstation,Data,Hulk,Hulk,Avengers,Service B,Closed,Medium,High,Medium,Medium,2025-03-10T07:40:03.000000,2025-03-10T14:40:03.000000,2025-03-11T06:40:03.000000,0,3,Monday,1,7.0,16.0,23.0,1,2025-11
CR-6298,High CPU usage on database server impacting performance,Failure,Captain America,Captain America,Avengers,Service C,In Progress,Medium,Critical,High,High,2025-03-10T08:12:34.000000,2025-03-10T13:12:34.000000,,0,3,Monday,1,5.0,,,0,2025-11
CR-6299,Application crash when user attempts specific function,Network,Thor,Thor,Avengers,Service A,New,Medium,Critical,High,High,2025-03-10T22:11:58.000000,,,1,4,Monday,0,,,,0,2025-11
CR-6300,Unexpected logout from critical application during use,Hardware,John Cena,John Cena,Matrix,Service B,Closed,Low,Medium,Medium,Medium,2025-03-10T00:20:58.000000,2025-03-10T03:20:58.000000,2025-03-10T18:20:58.000000,0,2,Monday,1,3.0,15.0,18.0,0,2025-11
CR-6301,User unable to change expired password remotely,Data,Thor,Thor,Avengers,Service A,Closed,High,Medium,Low,Medium,2025-03-10T15:04:24.000000,2025-03-10T18:04:24.000000,2025-03-11T14:04:24.000000,0,1,Monday,1,3.0,20.0,23.0,0,2025-11
CR-6302,Access badge system not updating from central database,Software,Spiderman,Spiderman,Avengers II,Service A,Closed,High,Medium,Low,Low,2025-03-10T12:05:30.000000,2025-03-10T19:05:30.000000,2025-03-11T09:05:30.000000,0,2,Monday,1,7.0,14.0,21.0,0,2025-11
CR-6303,Frequent password prompts despite valid authentication,Access,Hulk,Hulk,Avengers,Service C,Closed,High,Critical,High,High,2025-03-10T01:26:23.000000,2025-03-10T07:26:23.000000,2025-03-10T13:26:23.000000,0,4,Monday,1,6.0,6.0,12.0,1,2025-11
CR-6304,Time synchronization issue causing authentication failures,Failure,Doctor Strange,Doctor Strange,Avengers II,Service A,Closed,Medium,Medium,Medium,Medium,2025-03-10T06:23:58.000000,2025-03-10T13:23:58.000000,2025-03-11T21:23:58.000000,0,1,Monday,1,7.0,32.0,39.0,1,2025-11
CR-6305,SSL certificate error when accessing internal site,Facilities,Thor,Thor,Avengers,Service B,Closed,Low,High,High,Medium,2025-03-10T07:09:05.000000,2025-03-10T12:09:05.000000,2025-03-10T23:09:05.000000,0,3,Monday,1,5.0,11.0,16.0,1,2025-11
CR-6306,Incorrect language settings applied to user interface,Hardware,Loki,Loki,Avengers,Service C,Closed,Low,Critical,High,Medium,2025-03-10T17:33:52.000000,2025-03-10T22:33:52.000000,2025-03-11T03:33:52.000000,0,5,Monday,1,5.0,5.0,10.0,1,2025-11
CR-6307,Error while uploading documents to intranet portal,Facilities,Captain America,Captain America,Avengers,Service B,Closed,High,Low,Low,Low,2025-03-10T22:19:57.000000,2025-03-11T04:19:57.000000,2025-03-12T19:19:57.000000,0,1,Monday,1,6.0,39.0,45.0,0,2025-11
CR-6308,Multiple users experiencing Outlook crashes,Hardware,Iron Man,Iron Man,Avengers,Service B,Closed,High,Medium,Medium,Medium,2025-03-10T05:00:45.000000,2025-03-10T12:00:45.000000,2025-03-11T08:00:45.000000,0,1,Monday,1,7.0,20.0,27.0,0,2025-11
CR-6309,Incorrect group membership causing access escalation,Data,Neo,Neo,Matrix,Service B,Closed,Low,High,High,High,2025-03-10T06:54:57.000000,2025-03-10T13:54:57.000000,2025-03-11T09:54:57.000000,0,2,Monday,1,7.0,20.0,27.0,1,2025-11
CR-6310,Incorrect data displayed in reporting dashboard,Software,Hulk,Hulk,Avengers,Service C,Closed,High,High,High,High,2025-03-10T01:08:35.000000,2025-03-10T07:08:35.000000,2025-03-11T04:08:35.000000,1,2,Monday,0,6.0,21.0,27.0,1,2025-11
CR-6311,Intermittent packet loss on WAN link,Network,Spiderman,Spiderman,Avengers II,Service C,Closed,High,High,Medium,High,2025-03-10T14:29:46.000000,2025-03-10T21:29:46.000000,2025-03-11T19:29:46.000000,0,3,Monday,1,7.0,22.0,29.0,1,2025-11
CR-6312,Unexpected application log errors after deployment,Complaint,Doctor Strange,Doctor Strange,Avengers II,Service A,Closed,High,High,High,High,2025-03-10T16:08:16.000000,2025-03-10T22:08:16.000000,2025-03-11T10:08:16.000000,0,3,Monday,1,6.0,12.0,18.0,1,2025-11
CR-6313,External website not reachable from corporate network,Access,Thor,Thor,Avengers,Service C,Closed,Low,High,Medium,High,2025-03-10T23:00:07.000000,2025-03-11T01:00:07.000000,2025-03-11T17:00:07.000000,0,3,Monday,1,2.0,16.0,18.0,1,2025-11
CR-6314,Network outage in specific office floor,Access,Doctor Strange,Doctor Strange,Avengers II,Service C,Closed,Medium,Medium,Medium,Low,2025-03-10T11:55:33.000000,2025-03-10T17:55:33.000000,2025-03-11T19:55:33.000000,0,2,Monday,1,6.0,26.0,32.0,1,2025-11
CR-6315,User account locked after multiple failed login attempts,Facilities,Shang Chi,Shang Chi,Avengers II,Service B,On Hold,Low,Low,Low,Low,2025-03-10T01:58:19.000000,,,0,1,Monday,1,,,,0,2025-11
CR-6316,Application crash when user attempts specific function,Facilities,Shang Chi,Shang Chi,Avengers II,Service B,Closed,Medium,Medium,Medium,Medium,2025-03-10T04:18:15.000000,2025-03-10T06:18:15.000000,2025-03-11T06:18:15.000000,0,1,Monday,1,2.0,24.0,26.0,0,2025-11
CR-6317,Shared network drive not accessible,Network,Captain Marvel,Captain Marvel,Avengers II,Service A,Closed,High,Critical,High,High,2025-03-10T07:28:19.000000,2025-03-10T13:28:19.000000,2025-03-11T01:28:19.000000,0,4,Monday,1,6.0,12.0,18.0,1,2025-11
CR-6318,Intermittent connectivity issues to file server,Software,Jack Sparrow,Jack Sparrow,Matrix,Service A,Closed,Low,Low,Low,Low,2025-03-10T05:11:28.000000,2025-03-10T11:11:28.000000,2025-03-13T10:11:28.000000,0,0,Monday,1,6.0,71.0,77.0,1,2025-11
CR-6319,Incorrect group membership causing access escalation,Hardware,Captain Marvel,Captain Marvel,Avengers II,Service C,Closed,Low,Critical,High,High,2025-03-10T14:28:04.000000,2025-03-10T21:28:04.000000,2025-03-11T00:28:04.000000,0,3,Monday,1,7.0,3.0,10.0,0,2025-11
CR-6320,SSL certificate error when accessing internal site,Access,Captain America,Captain America,Avengers,Service A,On Hold,Medium,High,Medium,High,2025-03-10T16:07:12.000000,,,1,2,Monday,0,,,,0,2025-11
